,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Ribeira Grande,PT,65.77,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
1,Atuona,PF,77.13,few clouds,-9.8,-139.0333,Villa Enata
2,Hasaki,JP,70.29,scattered clouds,35.7333,140.8333,Inubosaki Kanko Hotel
5,Rikitea,PF,75.09,light rain,-23.1203,-134.9692,People ThankYou
7,Cape Town,ZA,60.89,few clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
13,San Patricio,US,78.67,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
14,Lewisville,US,73.69,clear sky,33.0462,-96.9942,Best Western Plus Hotel Lewisville Flower Mound
18,Avarua,CK,75.25,broken clouds,-21.2078,-159.775,Paradise Inn
29,Souillac,MU,75.58,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
32,Saint-Paul,RE,77.11,broken clouds,-21.0096,55.2707,Boucan Canot
34,Wellington,NZ,67.91,clear sky,-41.2866,174.7756,CityLife Wellington
39,Arraial Do Cabo,BR,69.1,moderate rain,-22.9661,-42.0278,Pousada Porto Praia
41,Guerrero Negro,MX,65.62,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
43,Ponta Do Sol,PT,69.71,scattered clouds,32.6667,-17.1,Hotel do Campo
46,Busselton,AU,69.4,few clouds,-33.65,115.3333,Observatory Guest House
52,Los Llanos De Aridane,ES,65.95,scattered clouds,28.6585,-17.9182,Valle Aridane
53,Kruisfontein,ZA,62.89,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
55,Bambous Virieux,MU,75.45,few clouds,-20.3428,57.7575,Casa Tia Villa
56,Carnarvon,AU,71.53,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
57,Ajdabiya,LY,63.75,clear sky,30.7554,20.2263,Almadina Hotel
58,Takoradi,GH,76.93,light rain,4.8845,-1.7554,Raybow International Hotel
62,Mecca,SA,74.91,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
63,Jining,CN,66.13,light rain,35.405,116.5814,Yunhe Star Hotel
64,Ambilobe,MG,78.57,scattered clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
70,Saint Marys,US,73.42,overcast clouds,30.7305,-81.5465,Spencer House Inn by Brham
79,Port Alfred,ZA,64.18,overcast clouds,-33.5906,26.891,The Halyards Hotel & Spa
84,Touros,BR,77.11,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
85,Praia,CV,75.74,clear sky,14.9215,-23.5087,LT Aparthotel
87,Tautira,PF,77.02,overcast clouds,-17.7333,-149.15,Pension Oaoa
88,Iquitos,PE,78.84,clear sky,-3.7481,-73.2472,Cortez Malaga Techy Caroly
91,Puerto Leguizamo,CO,72.59,overcast clouds,-0.1934,-74.7819,la casona de juancho
92,Tonantins,BR,73.33,scattered clouds,-2.8731,-67.8022,Hotel Hortensias
97,Ngunguru,NZ,65.05,broken clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
98,Nouadhibou,MR,67.98,overcast clouds,20.931,-17.0347,El Medina
101,Gandajika,CD,65.23,overcast clouds,-6.75,23.95,Hôtel Memorial
102,La Romana,DO,75.56,few clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
106,Wanning,CN,78.01,broken clouds,18.8003,110.3967,Paradise Hotel
111,Malanje,AO,64.54,overcast clouds,-9.5402,16.341,Hotel Ginga
112,Rio Grande,BR,61.21,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
119,Puerto Ayora,EC,67.55,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
122,Mar Del Plata,AR,60.94,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
135,Port Lincoln,AU,73.8,broken clouds,-34.7333,135.8667,Port Lincoln Hotel
137,Ramnagar,IN,72.25,clear sky,29.4,79.1167,Leisure Vacation Myrica Hotel
140,Saint-Pierre,RE,76.68,clear sky,-21.3393,55.4781,Alize Plage
145,Biankouma,CI,66.31,broken clouds,7.7391,-7.6138,NIMBO SAMA
148,San Cristobal,VE,69.98,overcast clouds,7.7669,-72.225,Pirineos
154,Alta Floresta,BR,77.63,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
157,Camacha,PT,63.82,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
161,Praia Da Vitoria,PT,66.45,broken clouds,38.7333,-27.0667,Hotel Branco I
163,Luang Prabang,LA,73.36,clear sky,19.8856,102.1347,The Luang Say Residence
169,Mahebourg,MU,75.49,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
172,Manzanillo,CU,73.65,scattered clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
173,Port Elizabeth,ZA,65.1,overcast clouds,-33.918,25.5701,39 On Nile Guest House
178,Bardiyah,LY,64.9,clear sky,31.7561,25.0865,بورتو بردية
180,Kaeo,NZ,64.13,overcast clouds,-35.1,173.7833,Bushido Lodge
182,Tambura,SS,68.67,overcast clouds,5.6,27.4667,Rikito Lodge
188,Esperance,AU,62.26,overcast clouds,-33.8667,121.9,Hospitality Esperance
191,Am Timan,TD,73.78,few clouds,11.0297,20.2827,Palais du chef Canton Salamt
192,Kloulklubed,PW,73.9,moderate rain,7.0419,134.2556,Storyboard Beach Resort
193,Hilo,US,75.25,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
196,Nuevitas,CU,73.26,clear sky,21.5453,-77.2644,Hotel Caonaba
199,Cabo San Lucas,MX,73.51,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
200,Saint-Philippe,RE,76.59,light rain,-21.3585,55.7679,Le four à pain
203,Sao Filipe,CV,77.18,broken clouds,14.8961,-24.4956,Hotel Xaguate
209,Bunia,CD,60.53,light rain,1.5667,30.25,Gold Star International Hotel
211,Flinders,AU,72.37,scattered clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
212,Vao,NC,74.82,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
214,Ocos,GT,78.84,overcast clouds,14.5094,-92.1933,Auto Hotel El Soñador
215,Neuquen,AR,73.29,clear sky,-38.9516,-68.0591,Hotel del Comahue
220,Vila Velha,BR,71.94,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
223,Maceio,BR,74.64,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
224,Inhambane,MZ,77.27,light rain,-23.865,35.3833,Oceano
227,Sambava,MG,74.08,light rain,-14.2667,50.1667,Melrose
229,Arlit,NE,69.91,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
230,Antofagasta,CL,61.88,few clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
231,Manutuke,NZ,61.23,overcast clouds,-38.6833,177.9167,Jolly Stockman Hotel
234,Lahan,NP,78.82,clear sky,26.7296,86.4951,Bhattarai Residence
236,Naze,JP,76.12,overcast clouds,28.3667,129.4833,Shishime Hotel
238,Geraldton,AU,72.01,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
239,Lagoa,PT,64.92,broken clouds,39.05,-27.9833,Casa Das Faias
243,Soyo,AO,78.28,overcast clouds,-6.1349,12.3689,Hospedaria ndozi'ame
245,Quatre Cocos,MU,75.31,broken clouds,-20.2078,57.7625,Sunrise Attitude Hotel
247,Waipawa,NZ,64.49,scattered clouds,-41.4122,175.5153,Tora Coastal Walk
259,Vila Franca Do Campo,PT,64.81,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
260,Jilib,SO,77.29,light rain,0.4883,42.7854,Waadi Hotel
261,Sumbawanga,TZ,64.2,broken clouds,-7.9667,31.6167,Matamba II Guest House
265,Nasirabad,IN,76.96,few clouds,26.3,74.7333,Hotel Sheesh Mahal & Restaurant
267,Tambopata,PE,74.08,few clouds,-12.7333,-69.1833,Enashawa Lodge
268,Acaponeta,MX,69.91,clear sky,22.4964,-105.3594,Hotel Casa Blanca
270,Buckeye,US,71.22,clear sky,33.3703,-112.5838,Buckeye Motor Hotel
273,Iracoubo,GF,75.6,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
274,East London,ZA,67.14,scattered clouds,-33.0153,27.9116,Tu Casa
277,Tongren,CN,79.25,clear sky,27.7172,109.1853,Fanjing Mountain International Conference Center
278,Mporokoso,ZM,64.36,light rain,-9.3727,30.125,Kutemwa lodge
279,Arica,CL,63.95,clear sky,-18.475,-70.3042,Americano
280,Muisne,EC,73.08,overcast clouds,0.6,-80.0333,Quinta Samay
281,Weihai,CN,61.97,overcast clouds,37.5017,122.1136,Beihai Travel Resort
284,Marawi,PH,79.18,broken clouds,7.9986,124.2928,Derogongan Residence
288,Maragogi,BR,75.36,clear sky,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
290,Ixtapa,MX,72.37,broken clouds,20.7,-105.2,hotel la terminal
292,Batemans Bay,AU,70.11,clear sky,-35.7167,150.1833,Batemans Bay Marina Resort
293,Mattru,SL,72.37,light rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
294,Liwale,TZ,71.8,overcast clouds,-9.7667,37.9333,Tumaini Tulivu Lodge
295,San Antero,CO,76.75,overcast clouds,9.3741,-75.7589,Villamarina Inn chale
299,Heze,CN,61.45,overcast clouds,35.2431,115.4411,Hanting Express Heze North Mudang Road University Town
301,Tsabong,BW,69.73,clear sky,-26.0217,22.401,Springbok Motel
305,Caravelas,BR,70.03,light rain,-17.7125,-39.2481,Pousada dos Navegantes
313,Comodoro Rivadavia,AR,67.86,clear sky,-45.8667,-67.5,Austral Hotel
320,Tabatinga,BR,77.09,broken clouds,-4.2525,-69.9381,Hotel Amazon Bed and Breakfast / Hotel Amazon B&B
322,Karaton,ID,79.93,light rain,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
324,Asfi,MA,63.16,few clouds,32.2994,-9.2372,Hôtel Abda
325,Cayenne,GF,75.24,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
329,Podor,MR,76.95,clear sky,16.6527,-14.9587,Auberge Du Tékrour
331,Cidreira,BR,61.72,overcast clouds,-30.1811,-50.2056,Hotel Castelo
334,Tripoli,LY,65.89,clear sky,32.8752,13.1875,Al Waddan Hotel
340,Taki,IN,78.75,clear sky,22.5861,88.9214,Bisram Bagan Bari Taki
342,Brownsville,US,78.91,clear sky,25.9018,-97.4975,Best Western Hotel Plaza Matamoros
343,Eirunepe,BR,75.94,overcast clouds,-6.6603,-69.8736,Hotel novo Acre & Comercial Aguiar
347,Oda,JP,63.37,clear sky,35.1833,132.5,Sky Hotel Oda
348,Hirara,JP,79.07,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
349,Trinidad,BO,76.24,clear sky,-14.8333,-64.9,Hotel Piesta
357,Aguimes,ES,66.83,few clouds,27.9054,-15.4461,Hotel Villa de Aguimes
358,Canavieiras,BR,71.15,overcast clouds,-15.675,-38.9472,Bahiadomizil
359,Itoman,JP,78.82,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
362,Basco,PH,79.61,broken clouds,20.4487,121.9702,Nathaniel's Lodge
365,Nelson,NZ,70.29,clear sky,-41.2833,173.2833,Tides Hotel
368,Gbarnga,LR,69.6,overcast clouds,6.9956,-9.4722,Passion Hotel 2
371,Antalaha,MG,72.73,light rain,-14.9003,50.2788,Hotel Vitasoa
372,San Javier,ES,63.12,overcast clouds,37.8063,-0.8374,Hotel Mar Menor
373,Salalah,OM,77.27,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
378,Kundiawa,PG,72.39,overcast clouds,-6.0167,144.9667,Pari
380,Fianarantsoa,MG,63.14,few clouds,-21.4333,47.0833,Soratel
382,Sola,VU,78.15,broken clouds,-13.8833,167.55,Leumerus Bungalows
383,Masallatah,LY,60.96,clear sky,32.6167,14.0,Mustafa Taher Sowaidan
388,Destin,US,78.8,clear sky,30.3935,-86.4958,Wingate by Wyndham Destin
395,Hambantota,LK,79.14,moderate rain,6.1241,81.1185,Bungalow 63
397,Fukue,JP,68.36,few clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
399,Mahajanga,MG,75.22,few clouds,-15.7167,46.3167,Hôtel Restaurant Gourmand Coco Lodge Majunga
401,Santiago Del Estero,AR,75.15,overcast clouds,-27.7951,-64.2615,Apartamentos Castelli 90
403,Cabedelo,BR,77.67,overcast clouds,-6.9811,-34.8339,Pousada Camboinha
404,Grand Gaube,MU,75.6,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
405,Namibe,AO,64.63,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
407,Zhicheng,CN,75.85,clear sky,30.2956,111.5047,Wangjiang Building
408,Cowra,AU,75.24,clear sky,-33.8333,148.6833,Cowra Motor Inn
415,Atar,MR,77.13,overcast clouds,20.5169,-13.0499,Oumou Elghoura
417,Nanakuli,US,79.97,clear sky,21.3906,-158.1547,Camp Pālehua
418,Riyadh,SA,66.34,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
420,Ouesso,CG,68.83,overcast clouds,1.6136,16.0517,ABENIE Hotel
423,San Quintin,MX,63.93,scattered clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
435,Catamarca,AR,79.07,overcast clouds,-28.4696,-65.7852,Amerian Catamarca Park Hotel
439,Sao Joao Da Barra,BR,70.56,moderate rain,-21.6403,-41.0511,Pousada Porto De Canoas
441,Faanui,PF,78.94,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
442,Aki,JP,69.75,clear sky,33.5,133.9,Seigetsu Ryokan
447,Kaele,CM,77.2,overcast clouds,10.1092,14.4508,Hôtel Les Palmiers
448,Chapada Dos Guimaraes,BR,69.46,clear sky,-15.4606,-55.7497,Pousada Morro Dos Ventos
450,Ndioum,SN,76.89,overcast clouds,16.5129,-14.6471,l'hôtel samassa
454,Sao Jose Da Coroa Grande,BR,75.81,clear sky,-8.8978,-35.1478,Crôa Mares Hotel
462,Turbat,PK,78.53,broken clouds,26.0023,63.044,Mubashar Quarters
463,Lilongwe,MW,73.85,overcast clouds,-13.9669,33.7873,Spendwise furnished apartments.
468,Gwadar,PK,79.84,clear sky,25.1216,62.3254,Sadaf Resort
471,Kahului,US,78.84,overcast clouds,20.8947,-156.47,Maui Seaside Hotel
478,Palmas,BR,76.87,few clouds,-10.2128,-48.3603,Hotel Lago da Palma
479,Acarau,BR,76.78,overcast clouds,-2.8856,-40.12,castelo pizzaria
480,Koutsouras,GR,64.11,clear sky,35.0339,25.9469,The White Houses
483,Tamiahua,MX,72.93,moderate rain,21.2667,-97.45,Mission Of The Sun Hotel
485,Jambi,ID,79.12,light rain,-1.6,103.6167,ASTON Jambi Hotel & Conference Center
489,Parana,AR,69.57,overcast clouds,-31.732,-60.5238,Howard Johnson by Wyndham Plaza Hotel Mayorazgo
492,Freetown,SL,78.33,broken clouds,8.484,-13.2299,The Country Lodge Hotel
494,Vallenar,CL,62.78,overcast clouds,-28.5708,-70.7581,Humacao Bed & Breakfast
495,Xixiang,CN,60.12,overcast clouds,35.1628,112.865,Hongchang Rest House
501,Mao,ES,68.56,scattered clouds,39.8885,4.2658,ARTIEM Capri
503,North Platte,US,66.11,clear sky,41.1239,-100.7654,"Holiday Inn Express & Suites North Platte, an IHG Hotel"
505,Cordele,US,64.92,clear sky,31.9635,-83.7824,Ramada by Wyndham Cordele
506,Satipo,PE,70.25,broken clouds,-11.2522,-74.6386,Bungalows El Palmiche
509,Tezu,IN,77.63,clear sky,27.9167,96.1667,Circuit House
512,Munirabad,IN,76.64,few clouds,15.3333,76.3333,Pranathi Tiffin Center
517,Zinder,NE,72.09,scattered clouds,13.8072,8.9881,Hotel de Ville
519,Sinnamary,GF,75.65,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
523,Kalmunai,LK,76.53,light rain,7.4167,81.8167,VS Villa
524,Tutoia,BR,77.99,broken clouds,-2.7619,-42.2744,Pousada Guará's
525,Huarmey,PE,63.52,scattered clouds,-10.0681,-78.1522,Hotel Miramar
527,Songea,TZ,65.55,few clouds,-10.6833,35.65,mtakuja
528,Malkangiri,IN,77.47,scattered clouds,18.35,81.9,MR-SAGAR_KUMAR_RTR™
531,Te Anau,NZ,66.09,broken clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
533,Eyl,SO,78.53,few clouds,7.9803,49.8164,EYL AQUE SYSTEM
534,Gasa,PS,61.88,clear sky,31.5,34.4667,رابطة الفنانين الفلسطينيين
535,Santa Lucia,ES,61.92,few clouds,27.9117,-15.5407,Las Tirajanas
537,Aku,NG,69.85,overcast clouds,6.7081,7.3167,Diewa Hotel And Resort
539,Rawson,AR,67.82,scattered clouds,-43.3002,-65.1023,Hosteria Sampedro
547,Lucapa,AO,63.82,overcast clouds,-8.4192,20.7447,Lírio Mendes
548,Baturaja,ID,75.69,overcast clouds,-4.1333,104.1667,"HOTEL Sekar Sunja, Baturaja Timur, Ogan Komering Ulu"
549,Owo,NG,70.18,broken clouds,7.1962,5.5868,The Chancery Hotel and Resort limited
550,Tevaitoa,PF,78.28,broken clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
552,Tangshan,CN,60.31,broken clouds,39.6333,118.1833,Civil Affairs Hotel
553,Vigia,BR,73.71,overcast clouds,-0.8583,-48.1417,Hotel Bom Jesus
554,Presidente Epitacio,BR,66.36,clear sky,-21.7633,-52.1156,Hotel Itaverá
556,Odweyne,SO,72.82,few clouds,9.4092,45.064,Eng Hiirey House
559,Lethem,GY,75.09,light rain,3.3803,-59.7968,Savannah Inn
561,Harlingen,US,77.09,clear sky,26.1906,-97.6961,Courtyard by Marriott Harlingen
562,Boca Do Acre,BR,76.98,few clouds,-8.7522,-67.3978,Hotel Sao Pedro
569,Solwezi,ZM,61.74,light rain,-12.1688,26.3894,Country Lodge Solwezi
574,Timbiqui,CO,74.52,light rain,2.7717,-77.6654,hotel diana
578,Pisco,PE,62.65,mist,-13.7,-76.2167,Hotel San Isidro Oficial
579,Along,IN,76.03,clear sky,28.1667,94.7667,Hotel West
581,Luangwa,ZM,78.44,overcast clouds,-15.6167,30.4167,Gerasimos Safari Lodge
582,San Juan Evangelista,MX,70.09,light rain,17.9,-95.1333,Salon INAPAM San Juan Evangelista
587,Aljezur,PT,62.67,overcast clouds,37.3191,-8.8033,Amazigh Hostel
588,Farafangana,MG,74.37,clear sky,-22.8167,47.8333,Miarina
591,Naraina,IN,77.72,broken clouds,26.7833,75.2,Acharya Shri Jayant Satsang Bhavan
593,Vidalia,US,62.38,clear sky,32.2177,-82.4135,Quality Inn & Suites
595,Dickinson,US,74.95,broken clouds,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
596,Isla Mujeres,MX,75.16,broken clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
602,Ahipara,NZ,64.69,scattered clouds,-35.1667,173.1667,Ahipara Holiday Park
603,Bowen,AU,79.93,few clouds,-20.0167,148.2333,Castle Motor Lodge Motel
605,Forbes,AU,76.33,clear sky,-33.3833,148.0167,Lake Forbes Motel
606,Cootamundra,AU,72.63,clear sky,-34.65,148.0333,Cootamundra Gardens Motel & indian restaurant
607,Grand-Santi,GF,72.88,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
610,Formosa Do Rio Preto,BR,71.47,overcast clouds,-11.0483,-45.1931,Porto Center Hotel
611,Oriximina,BR,72.81,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
613,Itaituba,BR,74.1,overcast clouds,-4.2761,-55.9836,Hotel Campos
617,Numan,NG,74.28,overcast clouds,9.4667,12.0333,Zangun Motel
619,Sumbe,AO,75.87,overcast clouds,-11.2061,13.8437,Hotel Ritz Sumbe
621,Clarksdale,US,67.98,clear sky,34.2001,-90.5709,Americas Best Value Inn & Suites Clarksdale
622,Urucara,BR,72.52,overcast clouds,-2.5364,-57.76,Pousada Maria Bonita
623,Kousseri,CM,79.14,overcast clouds,12.0769,15.0306,Le Pilotis
624,Jiaojiang,CN,71.89,scattered clouds,28.6803,121.4428,Fangyuan Hotel
628,Cap Malheureux,MU,73.47,light rain,-19.9842,57.6142,Pereybere Hotel & Spa
632,Chadiza,ZM,73.69,overcast clouds,-14.0678,32.4392,Sankhani Guest House
633,Douglas,US,61.32,overcast clouds,41.3,-96.167,Hilton Garden Inn Omaha West
634,Kipini,KE,79.39,clear sky,-2.5257,40.5262,Delta Sea Mall
635,Ismailia,EG,62.46,clear sky,30.6043,32.2723,Mercure Ismailia Forsan Island Hotel
636,Guangyuan,CN,60.6,overcast clouds,32.442,105.823,Guangyuan Poetry Hotel
637,Dali,CN,64.4,few clouds,25.7,100.1833,Dali Travelling With Hostel
643,Ulladulla,AU,70.12,clear sky,-35.35,150.4667,Sandpiper Motel
644,Ghanzi,BW,67.77,clear sky,-21.5667,21.7833,Ghanzi Farmhouse
645,Hualmay,PE,63.45,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
646,Shingu,JP,65.79,clear sky,33.7333,135.9833,Shingu UI Hotel
650,Nicoya,CR,73.69,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
654,Fontem,CM,65.19,overcast clouds,5.4685,9.8818,Vista Palace Hotel
655,Anjozorobe,MG,63.64,clear sky,-18.4,47.8667,Mandritsara
657,Ibra,OM,77.4,scattered clouds,22.6906,58.5334,مزرعة راحة النفوس المنزفة
658,Lovington,US,63.18,few clouds,32.944,-103.3485,Comfort Inn & Suites Lovington
659,Sokoni,TZ,76.86,light rain,-6.4333,39.55,Ujamaa Beach Resort
666,Port Shepstone,ZA,68.72,clear sky,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
667,Mbanza-Ngungu,CD,67.15,overcast clouds,-5.25,14.8667,Hotel Full Business
668,San Juan Del Sur,NI,77.95,broken clouds,11.2529,-85.8705,Nuestra Casa
672,Bilma,NE,66.65,clear sky,18.6853,12.9164,Expeditions Ténére voyages
678,Ibiapina,BR,66.76,overcast clouds,-3.9233,-40.8894,Hotel Pinheiro
682,Byron Bay,AU,70.95,scattered clouds,-28.65,153.6167,Backpackers Inn
683,Acapulco,MX,78.89,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
684,Porbandar,IN,75.18,haze,21.6422,69.6093,Lords Inn Porbandar
685,Naxos,GR,62.64,clear sky,37.1056,25.3764,Galaxy Hotel Naxos
686,Cuamba,MZ,73.81,broken clouds,-14.8031,36.5372,Hotel Vision
687,Port-Gentil,GA,77.9,overcast clouds,-0.7193,8.7815,Fengshui Residence
690,Santiago,CL,61.86,overcast clouds,-33.4569,-70.6483,Hotel Panamericano
695,Tura,IN,76.35,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
697,Lamu,KE,77.22,few clouds,-2.2717,40.902,Lamu House
698,Mahon,ES,68.56,scattered clouds,39.8885,4.2658,ARTIEM Capri
700,Harper,LR,77.23,light rain,4.375,-7.7169,Screensaver
701,Puerto Narino,CO,75.0,overcast clouds,-3.7703,-70.3831,Eware Refugio Amazonico
